,0,1,2,3,4,5,6,7,8,9
Arbol,0.14285714285714285,0.25,0.3,0.4642857142857143,0.16666666666666669,0.16666666666666669,0.25,0.16666666666666669,0.675,0.1
SVM,0.2857142857142857,0.16666666666666669,0.7750000000000001,0.4642857142857143,0.25,0.33333333333333337,0.5,0.6666666666666667,0.675,0.575
KNN,0.4285714285714286,0.16666666666666669,0.5,0.4285714285714286,0.5,0.5833333333333334,0.5,0.5,0.5,0.375
LR,0.4285714285714286,0.33333333333333337,0.5,0.5,0.5,0.4166666666666667,0.5,0.5,0.3,0.5
MLP,0.38095238095238093,0.5,0.525,0.6071428571428571,0.5833333333333333,0.5,0.5,0.5,0.22499999999999998,0.5
RF,0.2142857142857143,0.25,0.4,0.39285714285714285,0.33333333333333337,0.24999999999999997,0.33333333333333337,0.33333333333333337,0.425,0.35
ET,0.5,0.25,0.5,0.4642857142857143,0.5,0.5,0.5,0.5,0.5,0.5
